variable_name,desc_name,statement_number,response_option_code,response_option,type,values,notes,Notes
Carceral Experiences,,,,,,,,
Q4_1_1,incarc,1,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From Q4 matrix question (multiple selection possible),
Q4_1_2,knowincarc,1,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From Q4 matrix question (multiple selection possible),
Q4_1_3,noincarc,1,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From Q4 matrix question (multiple selection possible),"does not include Nas, which might be equivalent"
Q4_2_1,vict,2,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From Q4 matrix question (multiple selection possible),
Q4_2_2,knowsvict,2,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From Q4 matrix question (multiple selection possible),
Q4_2_3,novict,2,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From Q4 matrix question (multiple selection possible),
incarcerated_only,incarcerated_only,,,,Binary (0/1),"1 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
incarcerated_knowsinc,incarcerated_knowsinc,,,,Binary (0/1),"2 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
inc_knowsinc_victim,inc_knowsinc_victim,,,,Binary (0/1),"3 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
inc_knowsinc_knowsvict,inc_knowsinc_knowsvict,,,,Binary (0/1),"4 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
inc_knowsinc_victim_knowsvict,inc_knowsinc_victim_knowsvict,,,,Binary (0/1),"5 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
incarcerated_victim,incarcerated_victim,,,,Binary (0/1),"6 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
inc_victim_knowsvict,inc_victim_knowsvict,,,,Binary (0/1),"7 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
incarcerated_knowsvict,incarcerated_knowsvict,,,,Binary (0/1),"8 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
knowsinc_only,knowsinc_only,,,,Binary (0/1),"9 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
knowsinc_victin,knowsinc_victin,,,,Binary (0/1),"10 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
knowsinc_knowsvict,knowsinc_knowsvict,,,,Binary (0/1),"11 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
knowsinc_victim_knowsvict,knowsinc_victim_knowsvict,,,,Binary (0/1),"12 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
vict_only,vict_only,,,,Binary (0/1),"13 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
victim_knowsvict,victim_knowsvict,,,,Binary (0/1),"14 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
knowsvict_only,knowsvict_only,,,,Binary (0/1),"15 = yes, 0 = no",Constructed from all Q4_1 and Q4_2 variables,
,,,,,,,,
Other Policy Experiences,,,,,,,,
Q4_3_1,had_medicaid,3,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_3_2,knows_medicaid,3,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_3_3,no_medicaid,3,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_4_1,had_tanf,4,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_4_2,knows_tanf,4,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_4_3,no_tanf,4,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_5_1,had_snap,5,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_5_2,knows_snap,5,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_5_3,no_snap,5,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_6_1,immigrated,6,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_6_2,knows_immigrated,6,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_6_3,no_immigrated,6,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_7_1,been_union,7,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_7_2,knows_union,7,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_7_3,no_union,7,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_8_1,had_abortion,8,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_8_2,knows_abortion,8,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_8_3,no_abortion,8,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_9_1,had_unemployed,9,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_9_2,knows_unemployed,9,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_9_3,no_unemployed,9,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_10_1,had_insuranceless,10,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_10_2,knows_insuranceless,10,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_10_3,no_insuranceless,10,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_11_1,had_novote,11,1,You,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_11_2,knows_novote,11,2,Someone you know well,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q4_11_3,no_novote,11,3,No/Don't know,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",,
Q6,rationskip_meds,rationing block,NA,NA,Ordinal (1-4),"1 = Frequently, 2 = Sometimes, 3 = Rarely, 4 = Never; -99 = invalid/missing","1 = Frequently, 2 = Sometimes, 3 = Rarely, 4 = Never",
Q7,rationskip_period,rationing block,NA,NA,Ordinal (1-4),"2 = Frequently, 2 = Sometimes, 3 = Rarely, 4 = Never; -99 = invalid/missing","1 = Frequently, 2 = Sometimes, 3 = Rarely, 4 = Never",
Q8,rationskip_food,rationing block,NA,NA,Ordinal (1-4),"3 = Frequently, 2 = Sometimes, 3 = Rarely, 4 = Never; -99 = invalid/missing","1 = Frequently, 2 = Sometimes, 3 = Rarely, 4 = Never",
Q9,attn1,,,,,,,
Q10,,,,,,,,
Q62_1,penalpoint,,NA,NA,Ordinal (1-7)/rescaled,1 = Rehab (least punitive) to 7 = Punish (most punitive); NA = missing,Original scale reverse-coded. Initial prompt asked about purpose of incarceration.,
Q62_1_ordered,penalpoint_ord,,,,Ordered factor,Ordered labels from “Rehab (1)” to “Punish (7)”; NA = missing,Matches the reverse-coded scale. Useful for modeling or visualization requiring ordered factor.,
Q25_1,deathpenalty,,,,Ordinal (1–5),1 = Strongly favor to 5 = Don't know; NA = missing or invalid,Policy item: Support for the death penalty. Converted -99 to NA.,
Q25_1_ord,deathpenalty_ord,,,,Ordered factor,“Strongly favor” to “Don’t know”; NA = missing or invalid,Useful for visualization or models with ordered categories.,
Q25_5,lifewop,,,,Ordinal (1–5),1 = Strongly favor to 5 = Don't know; NA = missing,Policy item: Support for life without parole. Converted -99 to NA.,
Q25_5_ord,lifewop_ord,,,,Ordered factor,“Strongly favor” to “Don’t know”; NA = missing,Useful for visualizations or ordinal models.,
prisonpen,prisonpen,,,,Index (1–5),Mean of deathpenalty and lifewop; NA = incomplete,Composite index: Higher = more punitive carceral policy support.,
prisonpen_1,death penalty,,,,,,used,
prisonpen_2,lwop,,,,,,,
,,,,,,,,
,,,,,,,,
Q25_2,Require that prison laborers be paid according to state minimum wage.,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don't know; NA = missing",Raw policy response item,
Q25_2_ord,(same),,,,Ordered factor,"""Strongly favor"" to ""Don't know""; NA = missing",For plotting or ordinal regression,
Q25_2_rev,(same),,,,Reverse-coded,"4 = Strongly favor, ..., 1 = Strongly oppose; 5 = DK",Higher values = stronger support for policy,
,,,,,,,,
Q25_3,Require that prison laborers be paid according to state minimum wage.,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don't know; NA = missing",Raw policy response item,
Q25_3_ord,(same),,,,Ordered factor,"""Strongly favor"" to ""Don't know""; NA = missing",For plotting or ordinal regression,
Q25_3_rev,(same),,,,Reverse-coded,"4 = Strongly favor, ..., 1 = Strongly oppose; 5 = DK",Higher values = stronger support for policy,
,,,,,,,,
Q25_4,Require that prison laborers be paid according to state minimum wage.,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don't know; NA = missing",Raw policy response item,
Q25_4_ord,(same),,,,Ordered factor,"""Strongly favor"" to ""Don't know""; NA = missing",For plotting or ordinal regression,
Q25_4_rev,(same),,,,Reverse-coded,"4 = Strongly favor, ..., 1 = Strongly oppose; 5 = DK",Higher values = stronger support for policy,
,,,,,,,,
Q25_4,Require that prison laborers be paid according to state minimum wage.,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don't know; NA = missing",Raw policy response item,
Q25_4_ord,(same),,,,Ordered factor,"""Strongly favor"" to ""Don't know""; NA = missing",For plotting or ordinal regression,
Q25_4_rev,(same),,,,Reverse-coded,"4 = Strongly favor, ..., 1 = Strongly oppose; 5 = DK",Higher values = stronger support for policy,
,,,,,,,,
Q25_2,Support requiring prison laborers be paid minimum wage,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don’t know; NA = missing",From Q25 matrix. Recoded -99 as NA.,
Q25_3,Support eliminating prison phone call costs,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don’t know; NA = missing",From Q25 matrix. Recoded -99 as NA.,
Q25_4,Support increasing funding for GED/college in prisons,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don’t know; NA = missing",From Q25 matrix. Recoded -99 as NA.,
Q25_6,Support alternative sentencing for incarcerated parents,,,,Ordinal (1–5),"1 = Strongly favor, ..., 5 = Don’t know; NA = missing",From Q25 matrix. Recoded -99 as NA.,
Q23_2,Support restoring voting rights post-sentence,,,,Ordinal (1–3),"1 = Favor, 2 = Oppose, 3 = Don’t know; NA = missing",From Q23 matrix. Recoded -99 as NA.,
Q23_7,Support enabling voting access while incarcerated,,,,Ordinal (1–3),"1 = Favor, 2 = Oppose, 3 = Don’t know; NA = missing",From Q23 matrix. Recoded -99 as NA.,
prisonhelp,Composite index: support for assistance-oriented carceral policies,,5-Jan,,Continuous (mean of 6 items),Higher (5) = more supportive; NA = if all items are NA,"Based on Q25_2, Q25_3, Q25_4, Q25_6, Q23_2, Q23_7. No standardization yet. Items retain original Likert codings.",
Deservingness Scores,,,,,,,,
d_incppl_abc,prisonerdeserves,,,,Continuous,0–100; NA = not shown,Consolidated score from A_26/B_26/C_26 based on respondent's block,
,,,,,,,,
,,,,,,,,
formerly q32,fire_rare,,,,Belief racial problems are rare (Q32),1 = Strongly agree _ 4 = Strongly disagree,Reverse code later so higher = liberal,
q33,fire_privilege,,,,Belief in white privilege (Q33),1 = Strongly agree _ 4 = Strongly disagree,Already liberal (no recode),
q34,fire_angry,,,,Anger about racism (Q34),1 = Strongly agree _ 4 = Strongly disagree,Already liberal (no recode),
q111,fire_fear,,,,Fear of other races (Q111),1 = Strongly agree _ 4 = Strongly disagree,Reverse code later so higher = liberal,
,,,,,,,,
q51,White,,,,Dummy,Non-Hispanic white,"1 = White only (no Hispanic), 0 = otherwise",
q51,Black,,,,Dummy,Non-Hispanic Black,"1 = Black only (no Hispanic), 0 = otherwise",
q51,Hispanic,,,,Dummy,Hispanic/Latino/a/e,"1 = Hispanic, regardless of other selections",
q51,OtherRace,,,,Dummy,All other non-Hispanic race combinations,"1 = selected other races, but not exclusively white/Black/Hispanic",
,,,,,,,,
,,,,,,,,
,Republican,,,,Dummy,Identifies as Republican,"1 = Republican, 0 = all else; NA = missing party ID",
,Democrat,,,,Dummy,Identifies as Democrat,"1 = Democrat, 0 = all else; NA = missing party ID",
,fiscal_ideology,,,,Ordinal,Ideology on fiscal issues,"0 = very conservative, 5 = very liberal",
,social_ideology,,,,Ordinal,Ideology on social issues,"0 = very conservative, 5 = very liberal",
,,,,,,,,
,,,,,,,,
Q55,transgender,NA,NA,NA,Binary (0/1),"1 = Yes, 0 = No, NA = Prefer not to disclose or missing",From standalone multiple choice question on transgender identity.,
Q56_1,gender_woman,NA,NA,NA,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From multiple selection gender question.,
Q56_2,gender_man,NA,NA,NA,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From multiple selection gender question.,
Q56_3,gender_queer,NA,NA,NA,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From multiple selection gender question.,
Q56_4,gender_other,NA,NA,NA,Binary (0/1),"1 = selected, 0 = not selected, NA = no response",From multiple selection gender question.,
gender,gender,NA,NA,NA,Binary (0/1),"1 = man, 0 = woman or other, NA = missing",Derived from Q56_1–Q56_4; genderqueer and other assigned to 0.,
,,,,,,,,
desor_core,desor_core,,,,Continuous (0–100),Mean of ratings for help-framed groups seen by ABC (all); NA if none shown,Controls for generalized deservingness orientation toward marginalized groups; excludes carceral targets and conceptually adjacent groups,
desor_ext,desor_ext,,,,"mean of 12 targets (9 core + uninsured, mentally ill, non-citizen parents), require ≥6; desor_ext_z standardized; caution: single-block items; include block FE in models.",,,
