progress,duration_in_seconds,finished,response_id,q4_1_1,q4_1_2,q4_1_3,q4_2_1,q4_2_2,q4_2_3,q4_3_1,q4_3_2,q4_3_3,q4_4_1,q4_4_2,q4_4_3,q4_5_1,q4_5_2,q4_5_3,q4_6_1,q4_6_2,q4_6_3,q4_7_1,q4_7_2,q4_7_3,q4_8_1,q4_8_2,q4_8_3,q4_9_1,q4_9_2,q4_9_3,q4_10_1,q4_10_2,q4_10_3,q4_11_1,q4_11_2,q4_11_3,q6,q7,q8,q9,q102_1,q102_2,q102_3,q102_4,q102_5,q15_1,q15_2,q15_3,q15_4,q15_5,q62_1,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q17,q18,q20,q19,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q24,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q27,q28_1,q28_2,q28_3,q28_4,q28_5,q28_6,q28_7,q28_8,q28_9,q28_10,q28_11,q63_1,q63_2,q63_3,q104_1,q104_2,q104_3,q104_4,q68_2,q69_1,q69_2,q69_3,q69_4,q69_5,q69_6,q69_7,q69_8,q70,q71,q72,q73,q74_1,q74_2,q74_3,q74_4,q74_5,q74_6,q29,q30,q31,q110,fire_rare,fire_privilege,fire_angry,fire_fear,q112,q35,q36,q37,q38,q40,q41,q42,q43,q46,q47,q114_1,q114_2,q114_3,q114_4,q114_5,q114_6,q114_7,q114_8,q114_9,q48,q49_1,q49_2,q49_3,q50_1,q50_2,q50_3,dem101,dem,q109,politcs,q51_1,q51_2,q51_3,q51_4,q51_5,q51_6,q51_7,q51_8,q51_8_text,q52,q52_5_text,q53,q54,q113_first_click,q113_last_click,q113_page_submit,q113_click_count,q55,q56_1,q56_2,q56_3,q56_4,q56_4_text,q78_1,q78_7,q78_2,q78_3,q78_4,q78_6,q78_6_text,q58_1,q58_2,respondent_id,block,attn_q9_pass,attn_q17_pass,attn_q1114_pass,attn_pass_count,duration_sec,d_black_afam_abc,d_native_ind_abc,d_asianam_abc,d_latino_his_abc,d_whiteam_abc,d_mideastam_abc,d_incwomen_abc,d_collegewom_abc,d_enviro_abc,d_feminists_abc,d_proabort_choice_abc,d_abortprov_abc,d_welfare_tanf_abc,d_fstamps_snap_abc,d_unions_abc,d_medicaid_abc,d_medicare_abc,d_unemployed_abc,d_police_abc,d_poorfam_abc,d_wealthy_abc,d_teachers_abc,d_sci_experts_abc,d_child_abc,d_crim_abc,d_incppl_pris_abc,d_homeless_abc,d_immigrants_abc,d_unauth_undoc_abc,d_gunowners_abc,d_voters_abc,d_lgbt_abc,d_trans_abc,d_transkids_abc,d_gunmans_abc,d_ice_abc,d_socmed_abc,d_nra_abc,d_bigbank_abc,d_bigcorp_abc,d_uni_abc,d_comcoll_abc,d_noncit_parent_a,d_incparents_a,d_hsteen_a,d_athiest_a,d_cath_a,d_evan_a,d_jews_a,d_pal_a,d_muslim_a,d_blackwom_a,d_blackmen_a,d_lds_a,d_longcov_a,d_exon_a,d_weed_a,d_opioid_a,d_whitecol_a,d_tech_a,d_smokers_a,d_genx_a,d_boomer_a,d_mill_a,d_genz_a,d_metoo_b,d_christnat_b,d_ruralam_b,d_urbanam_b,d_suburbam_b,d_billion_b,d_blm_b,d_maga_b,d_progs_b,d_soc_b,d_proudboys_b,d_attnys_b,d_military_b,d_vets_b,d_solds_b,d_essentials_b,d_nurses_b,d_drs_b,d_dems_b,d_reps_b,d_media_b,d_bluecol_c,d_working_c,d_midclass_c,d_migrantwork_c,d_smallbiz_c,d_taxpayers_c,d_elderly_c,d_moms_c,d_retires_c,d_sexoffenders_c,d_sexhar_vict_c,d_sexharrasser_c,d_formerlyinc_c,d_homeown_c,d_regufee_c,d_gunvi_vict_c,d_polbrut_vict_c,d_unins_c,d_mentill_c,d_aids_c,d_gay_c,d_lesbians_c,desor,impact,contact_pattern,penalpoint,penalpoint_ord,q25_1_ord,prisonpen_1,prisonpen_5,prisonpen,q25_2_ord,q25_3_ord,q25_4_ord,q25_6_ord,q23_2_ord,q23_7_ord,q23_2_rev,q23_7_rev,q25_2_rev,q25_3_rev,q25_4_rev,q25_6_rev,prisonhelp,variancehelp,sdhelp,Black,Hispanic,White,OtherRace,Republican,Democrat,fiscal_ideology,social_ideology,trans_id,gender,desor_z,desor_core,desor_core_z,desor_ext,desor_ext_z,incarc,knowincarc,noincarc,vict
100,696,1,R_2AYl5pPkRvm9RUp,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,NA,NA,NA,4,1,2,3,4,-99,6,7,8,9,10,3,1,2,3,4,5,3,purple,3,2,3,1,2,3,4,5,5,6,1,2,3,2,1,1,2,1,1,2,3,3,4,5,2,1,2,3,2,1,2,2,3,2,1,1,3,2,1,3,2,3,2,3,1,3,2,3,1,2,3,4,1,2,3,3,3,2,4,1,3,1,3,2,3,3,3,3,3,3,NA,2,2,2,3,3,3,2,2,1,1,4,5,5,6,5,4,5,6,5,2,0,1,0,0,1,0,2,2,NA,2,0,1,0,0,0,0,0,0,-99,1,-99,1,4,2.422,4.294,5.826,2,2,0,1,0,0,-99,1,0,0,0,0,0,-99,191,210,iPe6e73286bf0a4283,C,TRUE,TRUE,TRUE,3,696,63,73,69,59,66,62,76,59,76,65,59,65,65,63,65,71,62,69,64,67,64,69,57,60,74,58,60,70,63,60,59,66,72,69,58,35,56,62,59,79,40,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,63,34,68,66,63,67,66,63,61,76,69,63,62,61,67,83,66,40,63,71,64,63.27272727272727,1,100010,5,Punish (5),Strongly favor,1,NA,1,Favor,Oppose,Strongly oppose,Oppose,Oppose,Oppose,1,1,3,2,1,2,1.6666666666666667,0.6666666666666666,0.816496580927726,1,0,0,0,0,1,5,5,0,1,-0.175694835035709,65.55555555555556,-0.06210766683416105,63.27272727272727,-0.17864554803595328,1,0,1,0
100,641,1,R_52sjhcbw6w005Fg,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,NA,NA,NA,4,1,1,1,1,1,10,10,10,10,10,7,4,2,1,1,2,5,Purple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP6abb831f8b6b3eb2,C,TRUE,TRUE,TRUE,3,641,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,110100,1,Rehab (1),Strongly oppose,4,2,3,Favor,Strongly favor,Strongly favor,Don't know,NA,NA,NA,NA,3,4,4,5,4,3.5833333333333335,1.8929694486000912,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1.735802080924033,100,1.7316731099209344,100,1.732311328160434,1,1,0,1
100,952,1,R_3QMJFsXCtYQgVKa,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP4ed8f389caf26cd0,A,FALSE,FALSE,TRUE,1,952,50,80,NA,NA,NA,NA,NA,NA,60,NA,NA,40,50,NA,60,NA,30,0,100,50,NA,100,80,100,50,NA,40,50,40,60,70,40,40,40,NA,NA,40,50,30,0,60,40,NA,50,60,NA,NA,NA,80,60,NA,NA,NA,40,100,70,NA,NA,100,90,40,NA,50,50,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.142857142857146,0,001001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-1.5356424287100376,37.142857142857146,-1.5417701508855992,37.142857142857146,-1.5382089267159855,0,0,1,0
100,963,1,R_1MmanJFZxFTl9ul,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,NA,NA,NA,4,2,1,1,1,3,8,6,7,6,8,5,2,1,1,2,1,2,Purple,3,6,2,4,2,3,1,3,1,3,2,1,1,1,1,1,2,1,2,1,1,2,2,1,3,3,1,1,1,2,1,1,1,2,1,2,1,1,2,6,5,6,5,5,2,1,2,1,2,1,2,1,2,1,1,2,2,2,3,2,3,1,2,2,2,1,2,1,1,4,NA,1,2,2,2,1,1,1,1,3,2,5,4,5,4,4,6,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iPb6b5fe7f3dbc0f5d,C,TRUE,TRUE,FALSE,2,963,85,88,87,79,69,91,88,87,88,73,81,90,80,83,88,87,93,72,94,82,85,88,83,83,12,83,62,79,90,89,81,87,65,85,98,75,90,84,88,88,94,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,87,97,83,89,99,100,91,92,18,85,89,88,90,87,84,30,90,35,78,89,82,77.54545454545455,1,010010,3,Rehab (3),Favor,2,1,1.5,Strongly favor,Strongly favor,Favor,Favor,Favor,Oppose,2,1,4,4,3,3,2.8333333333333335,0.3,0.5477225575051661,NA,NA,NA,0,NA,NA,3,4,NA,NA,0.5671393625031018,80.88888888888889,0.736414098301978,77.54545454545455,0.563978782565118,0,1,1,0
100,931,1,R_7oC8AaiF6X3vmsT,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,NA,NA,NA,4,1,2,1,1,2,8,9,10,10,10,3,3,2,2,1,2,2,Purple,3,3,3,2,2,1,2,2,1,1,3,1,1,1,1,3,3,1,3,3,4,1,2,4,2,1,1,1,1,1,3,1,1,1,2,2,2,2,2,4,4,1,1,6,2,3,3,2,2,2,3,2,3,3,2,1,2,2,4,4,4,3,3,3,3,3,3,2,1,4,NA,2,2,4,2,4,3,4,3,4,4,4,5,5,6,6,6,5,4,6,1,0,1,1,1,0,0,2,3,NA,3,1,1,0,0,0,0,0,0,-99,6,-99,2,1,0.932,2.022,2.674,3,2,1,0,0,0,-99,0,0,1,0,0,0,-99,1254,1310,iP62d032aea792688d,A,TRUE,TRUE,TRUE,3,931,80,80,80,80,80,80,60,80,90,70,60,70,70,60,80,80,70,60,80,80,50,90,90,90,50,50,80,70,70,60,80,80,60,60,70,40,40,70,40,40,70,70,80,50,80,50,40,50,80,70,80,80,80,60,80,80,80,50,80,80,60,70,60,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,0,001001,5,Punish (5),Oppose,3,2,2.5,Favor,Favor,Strongly favor,Favor,Favor,Don't know,2,NA,3,3,4,3,3,0.5666666666666667,0.752772652709081,1,0,1,0,0,1,2,2,0,0,0.27852225390521984,71.11111111111111,0.22721181328762863,72,0.2754432146245744,0,0,1,0
100,893,1,R_6f3hldGZ8mC1IS9,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP8f86cf0978f03945,A,FALSE,FALSE,TRUE,1,893,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,100,NA,100,NA,NA,NA,100,50,NA,100,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,50,NA,NA,NA,50,NA,100,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,1,110100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1.0852307295763488,NA,NA,NA,NA,1,1,0,1
100,1231,1,R_3ZZG5mqvIaBd9PC,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,NA,NA,NA,4,1,1,1,1,1,8,7,9,10,10,4,1,4,1,2,3,2,purple,3,3,3,3,3,2,2,2,3,2,1,1,1,1,1,2,1,1,4,1,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,5,5,5,6,1,1,1,2,3,1,1,4,1,1,2,2,1,2,1,1,3,3,1,3,3,3,3,3,2,4,NA,4,1,4,4,3,3,3,1,6,6,5,6,6,6,6,6,6,6,6,1,0,0,1,1,0,0,2,2,NA,1,1,0,0,0,0,0,0,0,-99,5,Wicca,NA,4,3.775,6.01,6.923,4,1,1,0,0,0,-99,0,0,1,0,0,0,-99,2867,2010,iP927d139fc513f0f4,A,TRUE,TRUE,TRUE,3,1231,100,100,100,100,100,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1,010001,4,Neutral (4),Strongly favor,1,3,2,Strongly oppose,Strongly favor,Favor,Favor,Favor,Favor,2,2,1,4,3,3,2.5,1.3666666666666667,1.1690451944500122,0,0,1,0,0,1,0,0,1,0,1.735802080924033,100,1.7316731099209344,100,1.732311328160434,0,1,1,0
100,1021,1,R_1RLRMITa59qs3DP,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,NA,NA,NA,4,1,1,1,3,1,10,6,10,8,10,7,1,1,1,1,1,1,purple,1,1,1,1,5,2,1,1,1,1,1,2,2,1,1,2,1,1,4,4,4,4,1,4,2,1,1,1,1,1,2,2,2,2,2,2,3,2,1,7,7,1,7,7,3,1,4,1,1,1,4,1,1,2,3,1,4,4,1,2,4,4,1,1,3,3,1,4,2,4,NA,1,3,1,3,1,1,1,1,1,1,4,4,4,6,6,6,6,6,6,3,1,0,0,1,0,0,1,NA,2,5,1,0,0,0,0,0,0,0,-99,1,-99,2,1,1.606,3.39,4.441,2,2,0,1,0,0,-99,1,0,0,0,0,0,-99,2283,1213,iP358ebd52b8a6f3ee,C,TRUE,TRUE,TRUE,3,1021,0,0,100,0,100,100,59,0,90,0,100,0,100,100,0,100,100,100,100,0,100,100,100,100,0,0,100,100,0,100,100,0,0,0,0,100,100,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,100,0,0,100,0,100,100,100,100,100,0,100,100,100,100,100,100,0,0,0,81.81818181818181,1,100001,1,Rehab (1),Strongly favor,1,1,1,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Oppose,Favor,1,2,4,4,4,4,3.1666666666666665,0.16666666666666666,0.408248290463863,0,0,1,0,1,0,5,5,0,1,0.7895164789637645,77.77777777777777,0.5743951894337757,81.81818181818181,0.7862930726176678,1,0,1,0
100,1433,1,R_3BQPJCjFs9E3boW,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,NA,NA,NA,4,1,1,1,1,1,10,10,10,10,10,1,4,4,1,1,1,2,Purple,1,2,2,3,1,1,3,6,3,1,2,1,1,1,2,2,1,1,4,4,4,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,5,1,4,2,1,1,3,3,2,1,1,2,1,4,4,1,3,3,1,3,3,3,3,4,1,2,4,NA,4,2,4,1,4,4,4,3,4,4,5,6,5,6,6,6,5,4,6,3,0,0,1,1,0,0,2,3,NA,3,0,1,0,0,0,0,0,0,-99,1,-99,2,3,1.689,3.816,4.469,4,2,1,0,0,0,-99,1,0,0,0,0,0,-99,1805,675,iP96ddd3f0312c0319,B,TRUE,TRUE,TRUE,3,1433,100,100,100,100,100,100,79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52,84,100,65,0,100,100,100,100,100,17,100,100,8,0,0,76,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,9,100,100,87,100,0,100,100,100,100,100,100,100,100,100,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,010001,7,Punish (7),Strongly oppose,4,1,2.5,Strongly oppose,Strongly favor,Strongly favor,Favor,Favor,Favor,2,2,1,4,4,3,2.6666666666666665,1.4666666666666666,1.2110601416389966,1,0,0,0,0,1,2,2,0,0,0.9551164593068118,85,0.9505105135921024,85,0.951846267337652,0,1,1,0
100,1551,1,R_1B4h1xaMdLn5dJz,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,4,2,2,1,2,3,9,10,8,9,9,3,1,4,4,3,1,3,Purple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP69abda041aa7b02d,B,TRUE,TRUE,TRUE,3,1551,44,79,43,62,81,27,28,60,34,31,35,30,65,48,39,69,65,64,44,77,34,59,40,65,10,22,63,44,20,27,42,31,39,23,36,23,49,29,41,38,64,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,61,50,60,68,37,40,38,65,45,30,64,72,84,72,29,68,56,30,62,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.22222222222222,0,001001,5,Punish (5),Strongly favor,1,1,1,Strongly oppose,Strongly oppose,Oppose,Oppose,NA,NA,NA,NA,1,1,2,2,1.5,0.3333333333333333,0.5773502691896257,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.4905976547991539,57.22222222222222,-0.4960868870168456,57.22222222222222,-0.4934594008526849,0,0,1,0
