st,cost_of_voting_index,year
AL,-0.171,1996
AL,0.102,2000
AL,0.295,2004
AL,0.084,2008
AL,0.403,2012
AL,0.617,2016
AK,-0.221,1996
AK,-0.269,2000
AK,0.072,2004
AK,0.315,2008
AK,0.311,2012
AK,-0.045,2016
AZ,0.061,1996
AZ,0.065,2000
AZ,-0.121,2004
AZ,0.305,2008
AZ,0.399,2012
AZ,0.536,2016
AR,0.424,1996
AR,0.657,2000
AR,0.237,2004
AR,0.73,2008
AR,0.76,2012
AR,0.51,2016
CA,0.473,1996
CA,0.427,2000
CA,0.062,2004
CA,-0.121,2008
CA,-0.584,2012
CA,-1.3,2016
CO,-0.256,1996
CO,-0.02,2000
CO,-0.137,2004
CO,0.085,2008
CO,-0.494,2012
CO,-1.46,2016
CT,0.87,1996
CT,0.466,2000
CT,-0.051,2004
CT,0.015,2008
CT,-0.604,2012
CT,-0.336,2016
DE,0.685,1996
DE,0.544,2000
DE,0.546,2004
DE,0.495,2008
DE,0.135,2012
DE,0.039,2016
FL,-0.455,1996
FL,-0.381,2000
FL,-0.099,2004
FL,0.085,2008
FL,0.397,2012
FL,0.407,2016
GA,-0.461,1996
GA,-0.479,2000
GA,-0.183,2004
GA,0.098,2008
GA,0.725,2012
GA,0.527,2016
HI,-1.273,1996
HI,-0.963,2000
HI,-0.132,2004
HI,-0.05,2008
HI,0.247,2012
HI,-0.206,2016
ID,-1.602,1996
ID,-1.733,2000
ID,-1.916,2004
ID,-1.594,2008
ID,-0.756,2012
ID,-0.256,2016
IL,0.473,1996
IL,0.427,2000
IL,0.098,2004
IL,0.04,2008
IL,0.131,2012
IL,-0.573,2016
IN,0.567,1996
IN,0.703,2000
IN,0.478,2004
IN,0.627,2008
IN,0.595,2012
IN,0.914,2016
IA,0.37,1996
IA,-0.005,2000
IA,-0.131,2004
IA,-0.8,2008
IA,-1.278,2012
IA,-1.094,2016
KS,-0.27,1996
KS,-0.343,2000
KS,-0.257,2004
KS,0.003,2008
KS,0.513,2012
KS,0.684,2016
KY,0.133,1996
KY,0.314,2000
KY,0.552,2004
KY,0.583,2008
KY,0.888,2012
KY,0.654,2016
LA,1.009,1996
LA,0.81,2000
LA,0.87,2004
LA,0.705,2008
LA,-0.078,2012
LA,-0.143,2016
ME,-1.191,1996
ME,-1.414,2000
ME,-1.509,2004
ME,-1.251,2008
ME,-1.388,2012
ME,-1.091,2016
MD,0.473,1996
MD,0.318,2000
MD,0.26,2004
MD,0.156,2008
MD,-0.436,2012
MD,-0.736,2016
MA,0.274,1996
MA,0.182,2000
MA,0.227,2004
MA,0.307,2008
MA,0.4,2012
MA,-0.753,2016
MI,0.907,1996
MI,0.816,2000
MI,0.483,2004
MI,0.542,2008
MI,0.69,2012
MI,0.82,2016
MN,-1.097,1996
MN,-1.094,2000
MN,-0.857,2004
MN,-1.149,2008
MN,-0.569,2012
MN,-0.573,2016
MS,0.589,1996
MS,0.731,2000
MS,0.904,2004
MS,0.806,2008
MS,0.585,2012
MS,1.302,2016
MO,0.862,1996
MO,0.761,2000
MO,0.832,2004
MO,0.712,2008
MO,0.747,2012
MO,0.259,2016
MT,-0.731,1996
MT,-0.604,2000
MT,0.257,2004
MT,-0.898,2008
MT,-0.459,2012
MT,-0.212,2016
NE,-0.221,1996
NE,-0.121,2000
NE,-0.009,2004
NE,-0.213,2008
NE,-0.331,2012
NE,-0.401,2016
NV,-0.234,1996
NV,0.007,2000
NV,0.266,2004
NV,0.432,2008
NV,0.053,2012
NV,0.347,2016
NH,-1.573,1996
NH,-1.222,2000
NH,-1.208,2004
NH,-1.46,2008
NH,-0.577,2012
NH,0.622,2016
NJ,0.473,1996
NJ,0.427,2000
NJ,0.103,2004
NJ,0.372,2008
NJ,0.051,2012
NJ,-0.631,2016
NM,-0.278,1996
NM,-0.048,2000
NM,0.2,2004
NM,0.36,2008
NM,0.472,2012
NM,0.568,2016
NY,1.431,1996
NY,0.85,2000
NY,0.654,2004
NY,0.641,2008
NY,0.017,2012
NY,0.057,2016
NC,0.384,1996
NC,0.318,2000
NC,-0.32,2004
NC,-0.263,2008
NC,-0.482,2012
NC,0.038,2016
ND,-1.905,1996
ND,-2.225,2000
ND,-2.721,2004
ND,-2.42,2008
ND,-1.354,2012
ND,-1.221,2016
OH,0.495,1996
OH,0.454,2000
OH,0.557,2004
OH,0.832,2008
OH,0.731,2012
OH,0.809,2016
OK,-0.367,1996
OK,-0.156,2000
OK,0.101,2004
OK,0.253,2008
OK,0.429,2012
OK,0.419,2016
OR,0.274,1996
OR,0.235,2000
OR,-0.809,2004
OR,-0.083,2008
OR,-1.045,2012
OR,-2.061,2016
PA,0.907,1996
PA,0.816,2000
PA,0.483,2004
PA,0.486,2008
PA,0.579,2012
PA,0.368,2016
RI,1.065,1996
RI,0.858,2000
RI,0.847,2004
RI,0.532,2008
RI,0.124,2012
RI,0.079,2016
SC,0.506,1996
SC,0.694,2000
SC,0.926,2004
SC,0.862,2008
SC,0.739,2012
SC,0.696,2016
SD,-0.154,1996
SD,-0.039,2000
SD,-0.184,2004
SD,0.006,2008
