progress,duration_in_seconds,finished,response_id,q4_1_1,q4_1_2,q4_1_3,q4_2_1,q4_2_2,q4_2_3,q4_3_1,q4_3_2,q4_3_3,q4_4_1,q4_4_2,q4_4_3,q4_5_1,q4_5_2,q4_5_3,q4_6_1,q4_6_2,q4_6_3,q4_7_1,q4_7_2,q4_7_3,q4_8_1,q4_8_2,q4_8_3,q4_9_1,q4_9_2,q4_9_3,q4_10_1,q4_10_2,q4_10_3,q4_11_1,q4_11_2,q4_11_3,q6,q7,q8,q9,q102_1,q102_2,q102_3,q102_4,q102_5,q15_1,q15_2,q15_3,q15_4,q15_5,q62_1,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q17,q18,q20,q19,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q24,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q27,q28_1,q28_2,q28_3,q28_4,q28_5,q28_6,q28_7,q28_8,q28_9,q28_10,q28_11,q63_1,q63_2,q63_3,q104_1,q104_2,q104_3,q104_4,q68_2,q69_1,q69_2,q69_3,q69_4,q69_5,q69_6,q69_7,q69_8,q70,q71,q72,q73,q74_1,q74_2,q74_3,q74_4,q74_5,q74_6,q29,q30,q31,q110,fire_rare,fire_privilege,fire_angry,fire_fear,q112,q35,q36,q37,q38,q40,q41,q42,q43,q46,q47,q114_1,q114_2,q114_3,q114_4,q114_5,q114_6,q114_7,q114_8,q114_9,q48,q49_1,q49_2,q49_3,q50_1,q50_2,q50_3,dem101,dem,q109,politcs,q51_1,q51_2,q51_3,q51_4,q51_5,q51_6,q51_7,q51_8,q51_8_text,q52,q52_5_text,q53,q54,q113_first_click,q113_last_click,q113_page_submit,q113_click_count,q55,q56_1,q56_2,q56_3,q56_4,q56_4_text,q78_1,q78_7,q78_2,q78_3,q78_4,q78_6,q78_6_text,q58_1,q58_2,respondent_id,block,attn_q9_pass,attn_q17_pass,attn_q1114_pass,attn_pass_count,duration_sec,d_black_afam_abc,d_native_ind_abc,d_asianam_abc,d_latino_his_abc,d_whiteam_abc,d_mideastam_abc,d_incwomen_abc,d_collegewom_abc,d_enviro_abc,d_feminists_abc,d_proabort_choice_abc,d_abortprov_abc,d_welfare_tanf_abc,d_fstamps_snap_abc,d_unions_abc,d_medicaid_abc,d_medicare_abc,d_unemployed_abc,d_police_abc,d_poorfam_abc,d_wealthy_abc,d_teachers_abc,d_sci_experts_abc,d_child_abc,d_crim_abc,d_incppl_pris_abc,d_homeless_abc,d_immigrants_abc,d_unauth_undoc_abc,d_gunowners_abc,d_voters_abc,d_lgbt_abc,d_trans_abc,d_transkids_abc,d_gunmans_abc,d_ice_abc,d_socmed_abc,d_nra_abc,d_bigbank_abc,d_bigcorp_abc,d_uni_abc,d_comcoll_abc,d_noncit_parent_a,d_incparents_a,d_hsteen_a,d_athiest_a,d_cath_a,d_evan_a,d_jews_a,d_pal_a,d_muslim_a,d_blackwom_a,d_blackmen_a,d_lds_a,d_longcov_a,d_exon_a,d_weed_a,d_opioid_a,d_whitecol_a,d_tech_a,d_smokers_a,d_genx_a,d_boomer_a,d_mill_a,d_genz_a,d_metoo_b,d_christnat_b,d_ruralam_b,d_urbanam_b,d_suburbam_b,d_billion_b,d_blm_b,d_maga_b,d_progs_b,d_soc_b,d_proudboys_b,d_attnys_b,d_military_b,d_vets_b,d_solds_b,d_essentials_b,d_nurses_b,d_drs_b,d_dems_b,d_reps_b,d_media_b,d_bluecol_c,d_working_c,d_midclass_c,d_migrantwork_c,d_smallbiz_c,d_taxpayers_c,d_elderly_c,d_moms_c,d_retires_c,d_sexoffenders_c,d_sexhar_vict_c,d_sexharrasser_c,d_formerlyinc_c,d_homeown_c,d_regufee_c,d_gunvi_vict_c,d_polbrut_vict_c,d_unins_c,d_mentill_c,d_aids_c,d_gay_c,d_lesbians_c,desor,impact,contact_pattern,penalpoint,penalpoint_ord,q25_1_ord,prisonpen_1,prisonpen_5,prisonpen,q25_2_ord,q25_3_ord,q25_4_ord,q25_6_ord,q23_2_ord,q23_7_ord,q23_2_rev,q23_7_rev,q25_2_rev,q25_3_rev,q25_4_rev,q25_6_rev,prisonhelp,variancehelp,sdhelp,Black,Hispanic,White,OtherRace,Republican,Democrat,fiscal_ideology,social_ideology,trans_id,gender,incarc,knowincarc,vict,incarc_bin,noincarc_bin,knowincarc_bin,vict_bin,q15_1_1_to_5,q15_2_1_to_5,q15_3_1_to_5,q15_4_1_to_5,q15_5_1_to_5,gov_attn,vote2020,willvote
18,572,0,R_3q8LVrLYtTnu1M6,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,NA,NA,NA,4,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iPaf256b5a7012eb15,C,TRUE,FALSE,TRUE,2,572,61,91,22,17,74,4,65,64,31,18,27,27,59,78,35,76,77,70,14,66,13,100,63,87,9,16,17,24,1,78,73,27,16,23,64,89,37,68,13,15,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,72,82,5,68,76,69,71,62,7,71,21,48,67,13,15,72,27,38,52,26,14,44,1,110110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
28,968,0,R_51HCPKNEqY40tZ0,-99,-99,-99,0,1,0,0,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,1,0,-99,-99,-99,-99,-99,-99,NA,NA,NA,4,2,2,3,-99,2,8,9,6,9,9,1,1,2,3,3,2,3,purple,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iPf442705e29c15cbb,A,TRUE,TRUE,TRUE,3,968,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,0,70,NA,NA,NA,10,NA,90,NA,NA,30,NA,NA,NA,30,30,NA,NA,NA,NA,NA,10,30,30,NA,NA,NA,80,NA,30,NA,70,40,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.333333333333334,0,-99-99-99010,7,Punish (7),Strongly favor,1,2,1.5,Favor,Oppose,Oppose,Oppose,NA,NA,NA,NA,3,2,2,2,2.25,0.25,0.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,4,1,4,4,NA,NA,NA
18,521,0,R_5PAEuzYe1kfBQCa,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iPa3b548bc405a929b,B,TRUE,FALSE,TRUE,2,521,81,81,81,95,65,88,68,100,82,64,66,59,98,99,83,99,100,84,84,98,59,99,82,100,0,66,85,84,81,72,82,84,83,95,65,73,63,61,66,58,99,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,99,67,69,70,51,53,65,68,72,90,73,100,98,96,97,100,100,83,78,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.45454545454544,1,010001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
32,1406,0,R_5amqhVYo5VGibnR,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,-99,-99,-99,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,NA,NA,NA,4,1,2,2,-99,3,10,10,10,10,10,5,1,3,1,1,2,2,Purple,1,1,2,2,1,2,4,2,1,1,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP3622ceedcb447618,B,TRUE,TRUE,TRUE,3,1406,67,82,90,27,48,50,25,79,38,46,0,0,34,82,43,72,74,70,90,80,28,75,64,42,0,8,79,37,0,12,53,0,0,5,15,59,21,24,50,18,0,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,65,66,79,74,10,65,76,3,11,16,26,84,88,77,87,76,13,0,91,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.45454545454545,0,001001,3,Rehab (3),Strongly favor,1,2,1.5,Oppose,Strongly favor,Strongly favor,Favor,Oppose,Favor,1,2,2,4,4,3,2.6666666666666665,0.6666666666666667,0.816496580927726,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,5,5,5,5,5,NA,NA,NA
37,1294,0,R_5R99Zectd4ErKhr,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,4,2,2,-99,2,3,7,7,8,8,7,1,2,3,3,3,5,3,Purple,2,6,3,3,4,3,4,2,4,4,2,1,2,1,1,2,2,3,5,5,3,2,3,3,3,1,1,1,3,1,2,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP2d5b447c6bedcb35,C,TRUE,TRUE,TRUE,3,1294,100,100,100,100,100,100,45,100,81,41,61,59,64,60,45,60,100,19,100,44,57,100,100,100,60,43,64,82,9,81,81,100,40,0,79,83,44,46,41,42,58,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,83,82,100,82,100,82,100,0,100,0,77,100,55,42,43,33,43,100,100,100,47.53846153846154,0,001001,7,Punish (7),Favor,2,NA,2,Oppose,Oppose,Oppose,Oppose,Favor,Oppose,2,1,2,2,2,2,1.8333333333333333,0.7,0.8366600265340756,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,2,2,3,3,2,NA,NA,NA
28,634,0,R_5fs2P7PSLn5DPkZ,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,4,2,2,2,2,2,8,8,9,9,9,4,5,2,2,2,2,2,Purple,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP412c0f956c550016,A,TRUE,TRUE,TRUE,3,634,NA,NA,NA,NA,NA,40,50,NA,80,50,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,80,NA,NA,NA,50,20,NA,NA,NA,NA,NA,20,50,20,10,10,20,NA,NA,20,NA,NA,30,NA,20,NA,50,NA,NA,NA,20,70,50,50,40,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,010001,4,Neutral (4),Don't know,NA,2,2,Favor,Favor,Favor,Favor,NA,NA,NA,NA,3,3,3,3,3,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,0,3,3,4,4,4,NA,NA,NA
73,2736,0,R_2eQ0JdQNv6V7OXN,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,NA,NA,NA,4,1,2,2,2,2,8,7,9,9,9,3,3,3,2,2,2,2,purple,2,1,2,3,3,2,6,1,2,1,2,1,2,1,1,2,1,3,4,3,2,5,5,4,2,1,1,1,3,1,2,2,2,2,2,2,2,2,1,6,7,4,2,5,2,2,2,2,2,2,2,3,1,1,3,2,4,4,3,5,5,2,3,1,3,3,3,2,2,3,NA,2,3,2,2,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iPdaf613fdc84554e6,C,TRUE,TRUE,TRUE,3,2736,90,95,90,90,90,90,65,90,80,60,25,10,70,70,60,95,100,85,85,95,75,96,95,100,30,40,85,80,20,85,80,95,65,53,75,90,55,90,10,20,88,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,76,87,90,100,100,90,95,10,90,0,60,95,60,90,94,60,90,90,90,70,74.46153846153847,0,001001,5,Punish (5),Oppose,3,2,2.5,Oppose,Favor,Favor,Favor,Favor,Favor,2,2,2,3,3,3,2.5,0.5666666666666667,0.752772652709081,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,3,2,4,4,4,3,3,3
38,1572,0,R_7wn1XZ8nBbKUV8x,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,4,3,3,3,2,2,10,10,10,10,10,3,1,1,5,1,1,5,Purple,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,4,4,4,1,1,1,4,2,2,2,2,2,3,3,3,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP137e6f63c515f905,A,TRUE,TRUE,TRUE,3,1572,100,100,100,100,90,100,80,100,100,90,100,100,90,90,100,100,100,80,80,100,10,100,100,100,10,20,80,100,90,0,100,100,100,100,0,100,60,0,0,0,100,100,100,70,100,90,70,0,100,90,90,100,90,40,90,80,0,10,90,90,0,100,100,90,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.16666666666669,0,001001,5,Punish (5),Strongly favor,1,1,1,Strongly favor,Don't know,Strongly favor,Don't know,Oppose,Oppose,1,1,4,5,4,5,3.3333333333333335,3.4666666666666663,1.8618986725025255,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,5,5,5,5,5,NA,NA,NA
32,4446,0,R_5R3DDdl5HuDpZ6E,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,NA,NA,NA,4,1,2,2,1,3,10,10,10,10,10,4,3,5,2,5,3,5,purple,3,1,3,2,6,4,6,-99,6,6,3,2,2,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iP47f0b2ffd0283abb,C,TRUE,TRUE,TRUE,3,4446,95,51,50,50,85,50,0,70,78,0,0,0,73,76,50,78,86,94,88,100,0,100,100,100,0,0,71,35,0,89,50,50,50,53,0,88,16,96,88,0,50,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,100,90,50,72,81,100,100,81,86,82,0,0,50,0,78,80,58,65,56,50,50,64.53846153846153,1,001100,4,Neutral (4),Oppose,3,3,3,Don't know,Favor,Don't know,Don't know,Oppose,Don't know,1,NA,5,3,5,5,3.8,2.2666666666666666,1.505545305418162,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,5,5,5,5,5,NA,NA,NA
28,1097,0,R_1ufQvBvE4MtWBB7,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,NA,NA,NA,4,1,1,1,1,1,7,6,7,6,7,6,2,2,3,2,2,1,Purple,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iPe1b05101f1e3b73d,A,TRUE,TRUE,TRUE,3,1097,70,50,50,60,80,20,80,50,50,50,50,60,80,70,50,80,70,60,70,60,70,90,60,70,50,70,70,20,20,50,90,50,10,10,60,70,60,70,70,80,50,70,70,50,50,0,40,50,30,50,50,80,50,30,80,60,90,50,70,70,60,90,30,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.666666666666664,1,010110,2,Rehab (2),Favor,2,2,2,Favor,Oppose,Favor,Strongly favor,NA,NA,NA,NA,3,2,3,4,3,0.6666666666666666,0.816496580927726,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,2,1,2,1,2,NA,NA,NA
