state,Prohibitions on Running,,,,,,,,,Expungement/Sealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,does contact bar candidacy,Misdemeanor qualification? (Y/N),Must be registered voter? (Y/N),Felony Disenfranchisement? (Y/N/Until Sentence Complete/Until Pardoned or Restored),Rights restoration automatic upon sentence competion (Y/N),other,,,,Relief for non-conviction records,Relief for juvenile records: ,Relief for pardoned convictions: ,Arrests without convictions expunged (Y/N),Are misdemeanors expungable (Y/N),Are felony convictions expungable (Y/N),Is expungable automatic in any category? (Y/N),"If so, which",Expungement requires  petition,Years before petition/exp-eligible MD,Years before petition/exp-eligible FE,Pardon required for expungement MD,Pardon required for expungement FE,Sealed records accessible to LE?,Exp records: destroyed/hidden,Deferred adjudication mechanism?,,Arrest creates publicly indexed record?,"Arrest recorded at local, county, state",Filing charges creates public court record?,Record at County/Court/State level,convictions publicaly recorded,,,county-level arrest DB searchable online?,"If yes, fee",Largest Court case record online,All state court record online,centralized statewide DB?,state CH repository searchable?,fees,Portal/Data displays full DOB?,What displayed DOB,Portal/Data displays address?,Records searchable as of YEAR,Former inmate records searchable?,Bulk download?,Explicit restrictions?,,,Final dispositions reliably updated?,Repository aggregates statewide data?,Sealing removes from online index?,Known delays in expunchement?,"Fee barriers (low <20, med, high > 50)",name only search,,partisan control,incarceration rate per 100k,professionalized legislature index,Open records laws?,Floor session video archive?,"If yes, start date",call/follow up to confirm/for exeptions,floor transcript?,committee video archive?,committee transcript?,"if yes, start/window",follow up,API,https://guides.loc.gov/state-legislative-journals/by-state,Digitization,Digitization Start,Journal Coverage
,note: filed to run doesn't necessarily mean placed on ballot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
Alabama,registered voter->note disenfranchisement,,,,,,,,,"A court must seal arrest records upon petition if no conviction results, the charges are dismissed, or no charges are filed within one year - Arkansas Code Section 16-90-1409; § 16-90-1410"," A court will expunge most juvenile records when an individual turns 21; records of delinquency adjudications for which a juvenile could have been tried as an adult generally must be kept for 10 years after the last delinquency adjudication (or guilty or nolo contendere plea, or finding of guilt as adult) but may be expunged afterward - § 9-27-309","ealing is automatic for most pardoned crimes, and pardon may be an alternative for individuals who cannot get their records sealed - § 16-90-1411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,presumptive,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,"Sen, assembly",7/1/2005 (senate) 2018 (assembly),,,yes,,,confirm exceptions,good,Senate Daily Journal ,Yes,2015,"contains the proceedings of the Senate. Such proceedings include: the title of each measure considered and the vote thereon, messages from the Governor and Assembly, reports from Senate committees, and the contents of petitions, memorials, or other papers presented to, and authorized by, the Senate."
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
Delaware,"Prohibition on ""infamous crime"" conviction (""embezzlement of the public money, bribery, perjury, or other ""infamous crime""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
