Contact Experience,Q4_1_1,Q4_1_2,Q4_1_3,Q4_2_1,Q4_2_2,Q4_2_3,,,,,,,,,,
No contact,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,,,,All Been Incarcerated,Q4_1_1 = 1,Q4_1_2 = 0,Q4_2_3 = 0,Q4_2_1 = 0,Q4_2_2 = 0,Q4_2_3 = 0
All four,1,1,1,1,1,1,,,,Been Incarcerated and Know Incarcerated,Q4_1_1 = 1,Q4_1_2 = 1,,,,
Incarcerated only,1,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,,,,,,,,,,
Knows incarcerated only,0 or NA or -99,1,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,,,,,,,,,,
Victim only,0 or NA or -99,0 or NA or -99,0 or NA or -99,1,0 or NA or -99,0 or NA or -99,,,,,,,,,,
Knows victim only,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,1,0 or NA or -99,,,,,,,,,,
Incarcerated + Knows incarcerated,1,1,0 or NA or -99,0 or NA or -99,0 or NA or -99,0 or NA or -99,,,,,,,,,,
Incarcerated + Victim,1,0 or NA or -99,0 or NA or -99,1,0 or NA or -99,0 or NA or -99,,,,,,,,,,
Incarcerated + Knows victim,1,0 or NA or -99,0 or NA or -99,0 or NA or -99,1,0 or NA or -99,,,,,,,,,,
Incarcerated + Knows incarcerated + Victim,1,1,0 or NA or -99,1,0 or NA or -99,0 or NA or -99,,,,,,,,,,
Incarcerated + Knows incarcerated + Knows victim,1,1,0 or NA or -99,0 or NA or -99,1,0 or NA or -99,,,,,,,,,,
Incarcerated + Victim + Knows victim,1,0 or NA or -99,0 or NA or -99,1,1,0 or NA or -99,,,,,,,,,,
Knows incarcerated + Victim,0 or NA or -99,1,0 or NA or -99,1,0 or NA or -99,0 or NA or -99,,,,,,,,,,
Knows incarcerated + Knows victim,0 or NA or -99,1,0 or NA or -99,0 or NA or -99,1,0 or NA or -99,,,,,,,,,,
Knows incarcerated + Victim + Knows victim,0 or NA or -99,1,0 or NA or -99,1,1,0 or NA or -99,,,,,,,,,,
Victim + Knows victim,0 or NA or -99,0 or NA or -99,0 or NA or -99,1,1,0 or NA or -99,,,,,,,,,,
NA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
