A. Basic Contact Types,,,
,,,
Type, Incarcerated (Inc),Knows Incarcerated (KI),Victims (Vict)
Total Count,,,
Percent of Sample,,,
,,,
B. Incarcerated Combos,Incarcerated,,
Only - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
Also KI - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
Also and only KI - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
Also Vict - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
Also and only Vict - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
Also KI and Vict - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
Also and only KI and Vict - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
C. Knows Incarcerated (KI) Combos,Knows Incarcerated (KI),,
Only - Count,,,
Percent of Sample,,,
Percent of Total KI Count,,,
,,,
Also Vict - Count,,,
Percent of Sample,,,
Percent of Total KI Count,,,
,,,
Also and only Vict - Count,,,
Percent of Sample,,,
Percent of Total KI Count,,,
,,,
,,,
D. Victim Combos,Victim (VI),,
Only - Count,,,
Percent of Sample,,,
Percent of Total Victim Count,,,
,,,
Also KI - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
,,,
Also and only KI - Count,,,
Percent of Sample,,,
Percent of Total Incarcerated Count,,,
