"target","target_label","n","mean_score","sd_score","var_score"
"d_child_abc","Child",2205,83.4036281179138,21.0370079552486,442.555703709194
"d_moms_c","Moms",711,82.4838255977496,19.4244496720628,377.309245062501
"d_elderly_c","Elderly",711,82.2742616033755,20.5078315163574,420.571153503301
"d_vets_b","Vets",747,82.2182061579652,20.71909120781,429.280740477548
"d_working_c","Working",711,81.5710267229255,19.7005098650861,388.110088944355
"d_solds_b","Solds",743,81.1399730820996,22.0960120927643,488.233750403587
"d_nurses_b","Nurses",743,80.2987886944818,20.2737222173663,411.023812546933
"d_essentials_b","Essentials",742,79.7991913746631,19.9975396433633,399.901591787887
"d_teachers_abc","Teachers",2204,79.4124319419238,21.0089804130476,441.377257995818
"d_sexhar_vict_c","Sexhar Vict",711,79.295358649789,23.0814227685184,532.752077019078
"d_retires_c","Retires",711,79.2165963431786,20.9230193389472,437.772738257958
"d_gunvi_vict_c","Gunvi Vict",711,78.6399437412096,22.5909063593668,510.349050137677
"d_taxpayers_c","Taxpayers",711,78.5513361462728,20.8066171838368,432.915318634734
"d_bluecol_c","Bluecol",711,78.4824191279887,20.2886053581565,411.627507379015
"d_smallbiz_c","Smallbiz",711,77.1631504922644,20.7145956076188,429.094471187179
"d_exon_a","Exon",754,76.9230769230769,23.0151384575999,529.696598222495
"d_poorfam_abc","Poorfam",2202,76.5690281562216,22.105484256648,488.652434220911
"d_medicare_abc","Medicare",2198,76.4740673339399,22.0209692534868,484.92308686301
"d_native_ind_abc","Native Ind",2200,76.3618181818182,22.7418435345972,517.191447352098
"d_polbrut_vict_c","Polbrut Vict",711,75.8818565400844,23.9728742231764,574.698698520233
"d_midclass_c","Midclass",711,75.4810126582278,20.9577540751505,439.227455874488
"d_military_b","Military",745,75.4563758389262,25.343840639358,642.310258353174
"d_voters_abc","Voters",2199,73.718963165075,22.1200537644537,489.296778542321
"d_longcov_a","Longcov",749,73.7116154873164,22.4883127383951,505.724209819865
"d_mentill_c","Mentill",711,73.6174402250352,24.4052044709588,595.614005269308
"d_collegewom_abc","Collegewom",2197,73.3122439690487,22.4550938298161,504.231238905846
"d_drs_b","Drs",742,73.1455525606469,22.443219111955,503.69808410722
"d_medicaid_abc","Medicaid",2200,72.5818181818182,22.3283129098937,498.553557402124
"d_homeown_c","Homeown",711,72.535864978903,21.5987361211819,466.505402032447
"d_blackwom_a","Blackwom",743,72.3553162853297,23.6602808555315,559.808890162632
"d_black_afam_abc","Black Afam",2197,72.318161128812,24.1221712609745,581.879146343785
"d_comcoll_abc","Comcoll",2195,72.0036446469248,22.4006768646396,501.790323994
"d_sci_experts_abc","Sci Experts",2200,71.3245454545455,23.7371565957133,563.452603249414
"d_ruralam_b","Ruralam",736,70.5883152173913,22.1858648236658,492.212597973974
"d_latino_his_abc","Latino His",2192,70.4356751824817,23.7572053515614,564.404806116256
"d_blackmen_a","Blackmen",743,70.228802153432,23.9119313966582,571.780463118489
"d_asianam_abc","Asianam",2192,70.1418795620438,23.3142255977799,543.553115224177
"d_fstamps_snap_abc","Fstamps Snap",2199,69.7980900409277,24.2582251744863,588.461488616082
"d_boomer_a","Boomer",752,69.7739361702128,24.3000980624385,590.494765844127
"d_homeless_abc","Homeless",2205,69.7510204081633,25.0012731999213,625.063661617102
"d_genx_a","Genx",743,69.1251682368775,22.9769414284032,527.939837404271
"d_jews_a","Jews",749,68.4646194926569,24.4001378649716,595.366727829622
"d_tech_a","Tech",749,68.1441922563418,22.3881780789687,501.230517695613
"d_urbanam_b","Urbanam",737,67.9158751696065,22.9241063626889,525.514652527874
"d_mill_a","Mill",744,67.6344086021505,22.7821492521852,519.026324548841
"d_aids_c","Aids",711,67.534458509142,26.4746731420998,700.908317981021
