state,year,race,pop
Alabama (01),1990,American Indian or Alaska Native,16224
Alabama (01),1990,Asian or Pacific Islander,21869
Alabama (01),1990,Black or African American,1024198
Alabama (01),1990,White,2987764
Alabama (01),1991,American Indian or Alaska Native,17015
Alabama (01),1991,Asian or Pacific Islander,23082
Alabama (01),1991,Black or African American,1040280
Alabama (01),1991,White,3018779
Alabama (01),1992,American Indian or Alaska Native,17357
Alabama (01),1992,Asian or Pacific Islander,24350
Alabama (01),1992,Black or African American,1060627
Alabama (01),1992,White,3051680
Alabama (01),1993,American Indian or Alaska Native,18002
Alabama (01),1993,Asian or Pacific Islander,26272
Alabama (01),1993,Black or African American,1081479
Alabama (01),1993,White,3088449
Alabama (01),1994,American Indian or Alaska Native,18566
Alabama (01),1994,Asian or Pacific Islander,27681
Alabama (01),1994,Black or African American,1099593
Alabama (01),1994,White,3114389
Alabama (01),1995,American Indian or Alaska Native,19386
Alabama (01),1995,Asian or Pacific Islander,29288
Alabama (01),1995,Black or African American,1114033
Alabama (01),1995,White,3134093
Alabama (01),1996,American Indian or Alaska Native,20493
Alabama (01),1996,Asian or Pacific Islander,30558
Alabama (01),1996,Black or African American,1125093
Alabama (01),1996,White,3154959
Alabama (01),1997,American Indian or Alaska Native,21229
Alabama (01),1997,Asian or Pacific Islander,31743
Alabama (01),1997,Black or African American,1140120
Alabama (01),1997,White,3174843
Alabama (01),1998,American Indian or Alaska Native,21783
Alabama (01),1998,Asian or Pacific Islander,32630
Alabama (01),1998,Black or African American,1152248
Alabama (01),1998,White,3198040
Alabama (01),1999,American Indian or Alaska Native,22666
Alabama (01),1999,Asian or Pacific Islander,33494
Alabama (01),1999,Black or African American,1162673
Alabama (01),1999,White,3211308
Alabama (01),2000,American Indian or Alaska Native,25139
Alabama (01),2000,Asian or Pacific Islander,36561
Alabama (01),2000,Black or African American,1170617
Alabama (01),2000,White,3219856
Alabama (01),2001,American Indian or Alaska Native,26010
Alabama (01),2001,Asian or Pacific Islander,38517
Alabama (01),2001,Black or African American,1177479
Alabama (01),2001,White,3225628
Alabama (01),2002,American Indian or Alaska Native,27003
Alabama (01),2002,Asian or Pacific Islander,40783
Alabama (01),2002,Black or African American,1182591
Alabama (01),2002,White,3229712
Alabama (01),2003,American Indian or Alaska Native,28065
Alabama (01),2003,Asian or Pacific Islander,43407
Alabama (01),2003,Black or African American,1190183
Alabama (01),2003,White,3241836
Alabama (01),2004,American Indian or Alaska Native,28974
Alabama (01),2004,Asian or Pacific Islander,46752
Alabama (01),2004,Black or African American,1199192
Alabama (01),2004,White,3255811
Alabama (01),2005,American Indian or Alaska Native,29957
Alabama (01),2005,Asian or Pacific Islander,49897
Alabama (01),2005,Black or African American,1210903
Alabama (01),2005,White,3279048
Alabama (01),2006,American Indian or Alaska Native,31165
Alabama (01),2006,Asian or Pacific Islander,53122
Alabama (01),2006,Black or African American,1230534
Alabama (01),2006,White,3314160
Alabama (01),2007,American Indian or Alaska Native,32273
Alabama (01),2007,Asian or Pacific Islander,56067
Alabama (01),2007,Black or African American,1243867
Alabama (01),2007,White,3340633
Alabama (01),2008,American Indian or Alaska Native,33518
Alabama (01),2008,Asian or Pacific Islander,58975
Alabama (01),2008,Black or African American,1259177
Alabama (01),2008,White,3366536
Alabama (01),2009,American Indian or Alaska Native,34844
Alabama (01),2009,Asian or Pacific Islander,62645
Alabama (01),2009,Black or African American,1271247
Alabama (01),2009,White,3389202
Alabama (01),2010,American Indian or Alaska Native,35778
Alabama (01),2010,Asian or Pacific Islander,65197
Alabama (01),2010,Black or African American,1281608
Alabama (01),2010,White,3402854
Alabama (01),2011,American Indian or Alaska Native,35770
Alabama (01),2011,Asian or Pacific Islander,67090
Alabama (01),2011,Black or African American,1288355
Alabama (01),2011,White,3407854
Alabama (01),2012,American Indian or Alaska Native,35921
Alabama (01),2012,Asian or Pacific Islander,70522
Alabama (01),2012,Black or African American,1298130
Alabama (01),2012,White,3411015
Alabama (01),2013,American Indian or Alaska Native,35987
Alabama (01),2013,Asian or Pacific Islander,72955
Alabama (01),2013,Black or African American,1307809
Alabama (01),2013,White,3413330
Alabama (01),2014,American Indian or Alaska Native,36229
Alabama (01),2014,Asian or Pacific Islander,75072
Alabama (01),2014,Black or African American,1314912
Alabama (01),2014,White,3415586
Alabama (01),2015,American Indian or Alaska Native,36544
Alabama (01),2015,Asian or Pacific Islander,77463
Alabama (01),2015,Black or African American,1322623
Alabama (01),2015,White,3415717
Alabama (01),2016,American Indian or Alaska Native,36847
Alabama (01),2016,Asian or Pacific Islander,80027
Alabama (01),2016,Black or African American,1327937
Alabama (01),2016,White,3418714
Alabama (01),2017,American Indian or Alaska Native,37168
Alabama (01),2017,Asian or Pacific Islander,82037
Alabama (01),2017,Black or African American,1332866
Alabama (01),2017,White,3422415
Alabama (01),2018,American Indian or Alaska Native,37734
Alabama (01),2018,Asian or Pacific Islander,83530
Alabama (01),2018,Black or African American,1337780
Alabama (01),2018,White,3428637
Alabama (01),2019,American Indian or Alaska Native,38256
Alabama (01),2019,Asian or Pacific Islander,85143
Alabama (01),2019,Black or African American,1342306
Alabama (01),2019,White,3437480
Alaska (02),1990,American Indian or Alaska Native,87214
Alaska (02),1990,Asian or Pacific Islander,20135
Alaska (02),1990,Black or African American,22665
Alaska (02),1990,White,423276
Alaska (02),1991,American Indian or Alaska Native,89608
Alaska (02),1991,Asian or Pacific Islander,21194
Alaska (02),1991,Black or African American,23030
Alaska (02),1991,White,436361
Alaska (02),1992,American Indian or Alaska Native,92191
Alaska (02),1992,Asian or Pacific Islander,22509
Alaska (02),1992,Black or African American,24744
Alaska (02),1992,White,449292
Alaska (02),1993,American Indian or Alaska Native,94088
Alaska (02),1993,Asian or Pacific Islander,23773
Alaska (02),1993,Black or African American,26578
Alaska (02),1993,White,454995
Alaska (02),1994,American Indian or Alaska Native,95764
Alaska (02),1994,Asian or Pacific Islander,24741
Alaska (02),1994,Black or African American,26129
Alaska (02),1994,White,456674
Alaska (02),1995,American Indian or Alaska Native,96969
Alaska (02),1995,Asian or Pacific Islander,25624
Alaska (02),1995,Black or African American,24854
Alaska (02),1995,White,456965
Alaska (02),1996,American Indian or Alaska Native,99390
Alaska (02),1996,Asian or Pacific Islander,26947
Alaska (02),1996,Black or African American,24463
Alaska (02),1996,White,457769
Alaska (02),1997,American Indian or Alaska Native,101459
Alaska (02),1997,Asian or Pacific Islander,28249
Alaska (02),1997,Black or African American,25352
