state,year,race,pop
Alabama (01),1990,Hispanic or Latino,24107
Alabama (01),1990,Not Hispanic or Latino,4025948
Alabama (01),1991,Hispanic or Latino,25012
Alabama (01),1991,Not Hispanic or Latino,4074144
Alabama (01),1992,Hispanic or Latino,26745
Alabama (01),1992,Not Hispanic or Latino,4127269
Alabama (01),1993,Hispanic or Latino,29537
Alabama (01),1993,Not Hispanic or Latino,4184665
Alabama (01),1994,Hispanic or Latino,33152
Alabama (01),1994,Not Hispanic or Latino,4227077
Alabama (01),1995,Hispanic or Latino,37268
Alabama (01),1995,Not Hispanic or Latino,4259532
Alabama (01),1996,Hispanic or Latino,42796
Alabama (01),1996,Not Hispanic or Latino,4288307
Alabama (01),1997,Hispanic or Latino,49427
Alabama (01),1997,Not Hispanic or Latino,4318508
Alabama (01),1998,Hispanic or Latino,56899
Alabama (01),1998,Not Hispanic or Latino,4347802
Alabama (01),1999,Hispanic or Latino,65183
Alabama (01),1999,Not Hispanic or Latino,4364958
Alabama (01),2000,Hispanic or Latino,77016
Alabama (01),2000,Not Hispanic or Latino,4375157
Alabama (01),2001,Hispanic or Latino,85722
Alabama (01),2001,Not Hispanic or Latino,4381912
Alabama (01),2002,Hispanic or Latino,94179
Alabama (01),2002,Not Hispanic or Latino,4385910
Alabama (01),2003,Hispanic or Latino,103472
Alabama (01),2003,Not Hispanic or Latino,4400019
Alabama (01),2004,Hispanic or Latino,113284
Alabama (01),2004,Not Hispanic or Latino,4417445
Alabama (01),2005,Hispanic or Latino,124822
Alabama (01),2005,Not Hispanic or Latino,4444983
Alabama (01),2006,Hispanic or Latino,137842
Alabama (01),2006,Not Hispanic or Latino,4491139
Alabama (01),2007,Hispanic or Latino,150652
Alabama (01),2007,Not Hispanic or Latino,4522188
Alabama (01),2008,Hispanic or Latino,163709
Alabama (01),2008,Not Hispanic or Latino,4554497
Alabama (01),2009,Hispanic or Latino,176518
Alabama (01),2009,Not Hispanic or Latino,4581420
Alabama (01),2010,Hispanic or Latino,186188
Alabama (01),2010,Not Hispanic or Latino,4599249
Alabama (01),2011,Hispanic or Latino,189793
