"target","target_label","Any Impact","Direct","Proximal","Victim"
"d_abortprov_abc","Abortprov",57.2173913043478,56.2662721893491,57.756204379562,58.8860294117647
"d_aids_c","Aids",69.6702898550725,63.6190476190476,71.5876777251185,66.5730337078652
"d_asianam_abc","Asianam",69.4451003541913,64.5976331360947,70.5777126099707,69.5036496350365
"d_athiest_a","Athiest",54.2361111111111,57.3076923076923,54.1810344827586,56.4835164835165
"d_attnys_b","Attnys",55.258865248227,52.3962264150943,55.0042194092827,57.4301075268817
"d_bigbank_abc","Bigbank",42.4499411071849,44.3313609467456,42.533724340176,44.0763636363636
"d_bigcorp_abc","Bigcorp",39.4074941451991,41.4082840236686,38.7857142857143,39.3369565217391
"d_billion_b","Billion",38.0421052631579,32.0754716981132,37.2594142259414,40.1702127659574
"d_black_afam_abc","Black Afam",73.4651711924439,69.922619047619,73.8575624082232,74.6605839416058
"d_blackmen_a","Blackmen",70.8620689655172,68.4905660377358,71.1538461538462,74.5054945054945
"d_blackwom_a","Blackwom",72.7777777777778,69.8039215686274,73.2188841201717,76.1538461538462
"d_blm_b","Blm",58.4350877192982,56.7547169811321,58.5774058577406,61.9787234042553
"d_bluecol_c","Bluecol",81.2608695652174,78.952380952381,82.2037914691943,78.5842696629213
"d_boomer_a","Boomer",71.5862068965517,71.4814814814815,71.6595744680851,74.945054945055
"d_cath_a","Cath",60.1045296167247,53.6538461538462,61.2068965517241,60.4494382022472
"d_child_abc","Child",83.75,83.0058823529412,84.7383040935673,84.3514492753623
"d_christnat_b","Christnat",49.7607142857143,48.6981132075472,50.8728813559322,49.0769230769231
"d_collegewom_abc","Collegewom",74.5271226415094,72.7764705882353,75.0395894428152,74.1758241758242
"d_comcoll_abc","Comcoll",73.0981087470449,72.2335329341317,73.575,73.1875
"d_crim_abc","Crim",34.0023474178404,39.1775147928994,34.0393586005831,35.9057971014493
"d_dems_b","Dems",59.9074733096085,56.8679245283019,60.2893617021277,62.494623655914
"d_drs_b","Drs",71.5088339222615,71.9056603773585,71.3037974683544,73.5531914893617
"d_elderly_c","Elderly",84.1159420289855,80.7142857142857,85.1042654028436,82.752808988764
"d_enviro_abc","Enviro",68.678445229682,67.375,68.9430656934307,70.4705882352941
"d_essentials_b","Essentials",78.6643109540636,77.3207547169811,79.4747899159664,79.4301075268817
"d_evan_a","Evan",54.5138888888889,54.3396226415094,55.6652360515021,59.1208791208791
"d_exon_a","Exon",79.2150170648464,75.1923076923077,80.464135021097,81.8279569892473
"d_feminists_abc","Feminists",57.9232585596222,54.2958579881657,58.8240469208211,57.3062730627306
"d_formerlyinc_c","Formerlyinc",60.9239130434783,63.3492063492063,61.6303317535545,60.0337078651685
"d_fstamps_snap_abc","Fstamps Snap",73.2311320754717,73.6666666666667,73.4970674486804,74.0620437956204
"d_gay_c","Gay",61.518115942029,55.2380952380952,61.9905213270142,60.2584269662921
"d_genx_a","Genx",71.1111111111111,68.8679245283019,72.0600858369099,74.1111111111111
"d_genz_a","Genz",66.4912280701754,66.1538461538462,66.7965367965368,71.0112359550562
"d_gunmans_abc","Gunmans",46.1425178147269,48.502994011976,46.6755162241888,45.3505535055351
"d_gunowners_abc","Gunowners",58.3789846517119,60.8511904761905,59.2794117647059,57.4145454545455
"d_gunvi_vict_c","Gunvi Vict",79.7246376811594,77.984126984127,79.957345971564,79.6516853932584
"d_homeless_abc","Homeless",72.792009400705,73.3588235294118,73.0408759124088,75.014652014652
"d_homeown_c","Homeown",73.8405797101449,74.0793650793651,74.8151658767773,66.7303370786517
"d_hsteen_a","Hsteen",69.6551724137931,65.3846153846154,69.9574468085106,73.0769230769231
"d_ice_abc","Ice",57.4596199524941,56.4550898203593,57.8668639053255,59.1282051282051
"d_immigrants_abc","Immigrants",61.7755581668625,60.0710059171598,62.6866764275256,61.5490909090909
"d_incparents_a","Incparents",56.4383561643836,60.5555555555556,55.7446808510638,62.9032258064516
"d_incppl_pris_abc","Incppl Pris",50.4775413711584,55.2189349112426,51.4035346097202,50.6204379562044
"d_incwomen_abc","Incwomen",56.556080283353,60.1437125748503,57.0234948604993,57.7692307692308
"d_jews_a","Jews",69.1034482758621,65.8490566037736,69.9145299145299,72.0879120879121
"d_latino_his_abc","Latino His",70.9893992932862,67.3690476190476,72.2785923753666,70.6981818181818
"d_lds_a","Lds",53.5051546391753,56.1111111111111,55.3846153846154,52.3913043478261
"d_lesbians_c","Lesbians",62.8623188405797,61.3650793650794,63.2227488151659,60.9550561797753
"d_lgbt_abc","Lgbt",61.2405660377359,57.0828402366864,61.8693098384728,62.2014652014652
"d_longcov_a","Longcov",74.7586206896552,72.4528301886793,75.4661016949153,78.6516853932584
"d_maga_b","Maga",44.5017667844523,44.9433962264151,44.2268907563025,44.6666666666667
"d_media_b","Media",48.9750889679715,47.0943396226415,48.7130801687764,51.695652173913
"d_medicaid_abc","Medicaid",74.7836879432624,73.5892857142857,75.1248164464023,76.3602941176471
"d_medicare_abc","Medicare",77.2352245862884,75.3988095238095,77.6417033773862,77.7810218978102
"d_mentill_c","Mentill",76.1159420289855,73.7936507936508,76.7677725118483,75.5280898876404
"d_metoo_b","Metoo",58.1107142857143,56.5094339622642,59.0635593220339,59.9010989010989
"d_midclass_c","Midclass",76.5978260869565,76.952380952381,77.3601895734597,74.8089887640449
"d_mideastam_abc","Mideastam",65.9717978848414,62.5,66.7573099415205,66.4909090909091
